Species,Times,Concentrations
"[0, 0, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1]","[[0.00531441717791411, 0.0168, 'NA', 0.0440850393700787, 0.0337446, 0.0406055], [0.144685582822086, 0.1568, 'NA', 0.0958849606299212, 0.0912354, 0.0843345]]"
"[0, 0, 0, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.00531441717791411, 0.00829924050632911, 0.0406589887640449, 0.0459012413793103, 0.0505952380952381, 0.0469170860927152], [0.144685582822086, 0.155610759493671, 0.107041011235955, 0.0927587586206897, 0.0744047619047619, 0.0893229139072848]]"
"[0, 0, 0, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.13948093220339, 0.0137563291139241, 0.033948, 0.0308861538461538, 0.0508406837606838, 0.0612820143884892], [0.0105190677966102, 0.106993670886076, 0.110952, 0.0527638461538462, 0.0843493162393162, 0.0806879856115108]]"
"[0, 0, 0, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.13948093220339, 0.0081855421686747, 0.0325454395604396, 0.0257332352941176, 0.0460445669291339, 0.054321213592233], [0.0105190677966102, 0.127694457831325, 0.11192456043956, 0.0992567647058823, 0.0931854330708661, 0.098968786407767]]"
"[0, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00419393218322427, 0.0478533333333333, 0.041171320754717, 0.0624558139534884, 0.0294558333333333, 0.0342725555555556], [0.145806067816776, 0.0957066666666667, 0.095208679245283, 0.0718241860465116, 0.106494166666667, 0.0998374444444445]]"
"[0, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00419393218322427, 0.0413515789473684, 0.0412423529411765, 0.0423988571428571, 0.0352261904761905, 0.05382375], [0.145806067816776, 0.0952884210526316, 0.0902176470588235, 0.0866411428571428, 0.0992738095238095, 0.08970625]]"
"[0, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.13682328907048, 0.0601246153846154, 0.07104, 0.0279819298245614, 0.0721276744186046, 0.0846043661971831], [0.0131767109295199, 0.0887553846153846, 0.06512, 0.0947080701754386, 0.0755623255813953, 0.0619056338028169]]"
"[0, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.13682328907048, 0.0626, 0.0563458823529412, 0.0216384, 0.0550638805970149, 0.0712567741935484], [0.0131767109295199, 0.08764, 0.0804941176470588, 0.1136016, 0.0815761194029851, 0.0668032258064516]]"
"[0, 0, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00338942307692308, 0.0419153571428571, 0.0271393442622951, 0.0190845454545455, 0.0351925, 0.0463872413793103], [0.146610576923077, 0.119964642857143, 0.123360655737705, 0.130865454545455, 0.1055775, 0.10308275862069]]"
"[0, 0, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00338942307692308, 0.0383946808510638, 0.0196692307692308, 0.0535974193548387, 0.0367841095890411, 0.0470960714285714], [0.146610576923077, 0.125655319148936, 0.133750769230769, 0.104642580645161, 0.112395890410959, 0.108043928571429]]"
"[0, 0, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.13395, 0.040284, 0.029374, 0.020096875, 0.0430072307692308, 0.0532322641509434], [0.01605, 0.116376, 0.117496, 0.108523125, 0.104122769230769, 0.0952577358490566]]"
"[0, 0, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.13395, 0.0413521875, 0.0531776470588235, 0.0233833333333333, 0.0613988059701493, 0.0511546153846154], [0.01605, 0.1282978125, 0.0859023529411765, 0.116916666666667, 0.0909611940298507, 0.0966253846153846]]"
"[0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 1]","[[0.00220899263669121, 0.0584994594594595, 'NA', 0.0557298734177215, 0.0524051948051948, 0.0616791919191919], [0.147791007363309, 0.0767805405405405, 'NA', 0.0737601265822785, 0.0736948051948052, 0.0682408080808081]]"
"[0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.00220899263669121, 0.0555158208955224, 0.0653181944444444, 0.0714480459770115, 0.0567688, 0.0426584347826087], [0.147791007363309, 0.0875441791044776, 0.0440518055555556, 0.0636819540229885, 0.0722512, 0.0936115652173913]]"
"[0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.126547000472367, 0.0613115044247788, 0.0609283018867925, 0.0480405882352941, 0.0506392857142857, 0.0536313953488372], [0.0234529995276334, 0.0669884955752212, 0.0632716981132076, 0.0686294117647059, 0.0782607142857143, 0.0781486046511628]]"
"[0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.126547000472367, 0.0641262385321101, 0.0479425641025641, 0.0681205263157895, 0.0517909836065574, 0.065953125], [0.0234529995276334, 0.0814937614678899, 0.0689174358974359, 0.0756894736842105, 0.0745790163934426, 0.060676875]]"
"[0, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00608777725342143, 0.0989283870967742, 0.102467346938775, 0.131501714285714, 0.129101808510638, 0.14646], [0.143912222746579, 0.0563516129032258, 0.0332326530612245, 0.0123282857142857, 0.0013881914893617, 0.0]]"
"[0, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00608777725342143, 0.082644776119403, 0.126545098039216, 0.1418208, 0.135665432098765, 0.15225], [0.143912222746579, 0.055785223880597, 0.0137549019607843, 0.0059092, 0.00343456790123457, 0.0]]"
"[0, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.140781160252728, 0.125538461538462, 0.12614, 0.14021, 0.124114285714286, 0.13332], [0.00921883974727168, 0.00502153846153846, 0.0, 0.0, 0.00258571428571429, 0.0]]"
